1 | 2 | 4 | 3P | O MESMO DE SEMPRE | TONY CARREIRA | FAROL MUSICA | FAROL MUSICA
2 | 31 | 4 | P | FADO TRADICIONAL | MARIZA | CAPITOL | EMI
3 | 2 | 7 | OU | GREATEST HITS | BON JOVI | ISLAND | UNIVERSAL
4 | 3 | 9 | OU | SALE EL SOL | SHAKIRA | EPIC | SONY MUSIC
5 | 6 | 5 | OU | CARLOS DO CARMO & BERNARDO SASSETTI | CARLOS DO CARMO/BERNARDO SASSE | MERCURY | UNIVERSAL
6 | 8 | 11 | OU | JOAO PEDRO PAIS - O COLISEU | JOAO PEDRO PAIS | EVC | IPLAY
7 | 5 | 28 | P | DOIS SELOS E UM CARIMBO | DEOLINDA | CAPITOL | EMI
8 | 7 | 5 | | 25 ANOS, 25 EXITOS, 1 ABRACO | DELFINS | VIDISCO | VIDISCO
9 | 4 | 6 | | AUREA | AUREA | BLIM RECORDS | SONY MUSIC
10 | 21 | 31 | OU | MY WORLD | JUSTIN BIEBER | ISLAND | UNIVERSAL
11 | 12 | 63 | P | THE FAME | LADY GAGA | INTERSCOPE | UNIVERSAL
12 | 9 | 2 |  | COM QUE VOZ | AMALIA | EVC | IPLAY
13 | 13 | 7 |  | THIS IS WAR | THIRTY SECONDS TO MARS | VIRGIN | EMI
14 | 23 | 4 |  | MEMORIAS ESQUECIDAS | BETO | FAROL MUSICA | FAROL MUSICA
15 | 10 | 1 | OU | MICHAEL | MICHAEL JACKSON | EPIC | SONY MUSIC
16 | N | 7 | OU | AO VIVO NO COLISEU DE LISBOA | LEANDRO | ESPACIAL | ESPACIAL
17 | 15 | 4 |  | O QUE FAZ FALTA | ZECA SEMPRE | CHIADO RECORDS | VIDISCO
18 | 14 | 9 |  | HANNAH MONTANA FOREVER | HANNAH MONTANA | DISNEY RECORDS | EMI
19 | 11 | 56 | P | CRAZY LOVE | MICHAEL BUBLE | WBROS | WARNER MUSIC
20 | 19 | 3 |  | LIVE IN BERLIN | STING | DGG | UNIVERSAL
21 | 28 | 3 |  | AR DE ROCK | AR DE ROCK 	| CHIADO RECORDS | VIDISCO
22 | 16 | 5 |  | LOUD | RIHANNA | DEF JAM | UNIVERSAL
23 | 18 | 35 | OU |	LONGE | PEDRO ABRUNHOSA & COMITE CAVIA | POLYDOR | UNIVERSAL
24 | 22 | 7 |  | BARE BONES | BRYAN ADAMS | POLYDOR | UNIVERSAL
25 | 20 | 2 |  | VIDA | MARCO PAULO | ESPACIAL | ESPACIAL
26 | 25 | 2 |  | A VOZ DA GUITARRA | CARLOS PAREDES | POLYDOR | UNIVERSAL
27 | 26 | 2 |  | I AM...WORLD TOUR | BEYONCE | COLUMBIA | SONY MUSIC
28 | RE | 13 | OU | CHRISTMAS SONGS | DIANA KRALL | VERVE | UNIVERSAL
29 | 17 | 39 | 2P | CANCAO AO LADO | DEOLINDA | IPLAY | IPLAY
30 | 27 | 6 |  | MINGOS & OS SAMURAIS | RUI VELOSO | CAPITOL | EMI
